(-999, -999, -999)
(-999, -999, -999)
(-999, -999, -999)
(-999, -999, -999)
(-999, -999, -999)
(-999, -999, -999)
(-999, -999, -999)
(1.23349729180336, 8.1619160175323486, 0.0)
(-999, -999, -999)
(-999, -999, -999)
(-999, -999, -999)
(1.23349729180336, 9.1619160175323486, -1.0)
(1.23349729180336, 9.1619160175323486, 0.0)
(1.23349729180336, 9.1619160175323486, 1.0)
(-999, -999, -999)
(-999, -999, -999)
(-999, -999, -999)
(1.23349729180336, 10.161916017532349, 0.0)
(-999, -999, -999)
(-999, -999, -999)
(-999, -999, -999)
(-999, -999, -999)
(-999, -999, -999)
(-999, -999, -999)
(-999, -999, -999)
(-999, -999, -999)
(-999, -999, -999)
(2.23349729180336, 7.1619160175323486, 0.0)
(-999, -999, -999)
(-999, -999, -999)
(-999, -999, -999)
(2.23349729180336, 8.1619160175323486, -1.0)
(2.23349729180336, 8.1619160175323486, 0.0)
(2.23349729180336, 8.1619160175323486, 1.0)
(-999, -999, -999)
(2.23349729180336, 9.1619160175323486, -2.0)
(2.23349729180336, 9.1619160175323486, -1.0)
(2.23349729180336, 9.1619160175323486, 0.0)
(2.23349729180336, 9.1619160175323486, 1.0)
(2.23349729180336, 9.1619160175323486, 2.0)
(-999, -999, -999)
(2.23349729180336, 10.161916017532349, -1.0)
(2.23349729180336, 10.161916017532349, 0.0)
(2.23349729180336, 10.161916017532349, 1.0)
(-999, -999, -999)
(-999, -999, -999)
(-999, -999, -999)
(2.23349729180336, 11.161916017532349, 0.0)
(-999, -999, -999)
(-999, -999, -999)
(-999, -999, -999)
(3.23349729180336, 7.1619160175323486, -1.0)
(3.23349729180336, 7.1619160175323486, 0.0)
(3.23349729180336, 7.1619160175323486, 1.0)
(-999, -999, -999)
(3.23349729180336, 8.1619160175323486, -2.0)
(3.23349729180336, 8.1619160175323486, -1.0)
(3.23349729180336, 8.1619160175323486, 0.0)
(3.23349729180336, 8.1619160175323486, 1.0)
(3.23349729180336, 8.1619160175323486, 2.0)
(3.23349729180336, 9.1619160175323486, -2.0)
(3.23349729180336, 9.1619160175323486, -1.0)
(3.23349729180336, 9.1619160175323486, 0.0)
(3.23349729180336, 9.1619160175323486, 1.0)
(3.23349729180336, 9.1619160175323486, 2.0)
(3.23349729180336, 10.161916017532349, -2.0)
(3.23349729180336, 10.161916017532349, -1.0)
(3.23349729180336, 10.161916017532349, 0.0)
(3.23349729180336, 10.161916017532349, 1.0)
(3.23349729180336, 10.161916017532349, 2.0)
(-999, -999, -999)
(3.23349729180336, 11.161916017532349, -1.0)
(3.23349729180336, 11.161916017532349, 0.0)
(3.23349729180336, 11.161916017532349, 1.0)
(-999, -999, -999)
(-999, -999, -999)
(-999, -999, -999)
(4.23349729180336, 7.1619160175323486, 0.0)
(-999, -999, -999)
(-999, -999, -999)
(-999, -999, -999)
(4.23349729180336, 8.1619160175323486, -1.0)
(4.23349729180336, 8.1619160175323486, 0.0)
(4.23349729180336, 8.1619160175323486, 1.0)
(-999, -999, -999)
(4.23349729180336, 9.1619160175323486, -2.0)
(4.23349729180336, 9.1619160175323486, -1.0)
(4.23349729180336, 9.1619160175323486, 0.0)
(4.23349729180336, 9.1619160175323486, 1.0)
(4.23349729180336, 9.1619160175323486, 2.0)
(-999, -999, -999)
(4.23349729180336, 10.161916017532349, -1.0)
(4.23349729180336, 10.161916017532349, 0.0)
(4.23349729180336, 10.161916017532349, 1.0)
(-999, -999, -999)
(-999, -999, -999)
(-999, -999, -999)
(4.23349729180336, 11.161916017532349, 0.0)
(-999, -999, -999)
(-999, -999, -999)
(-999, -999, -999)
(-999, -999, -999)
(-999, -999, -999)
(-999, -999, -999)
(-999, -999, -999)
(-999, -999, -999)
(-999, -999, -999)
(5.23349729180336, 8.1619160175323486, 0.0)
(-999, -999, -999)
(-999, -999, -999)
(-999, -999, -999)
(5.23349729180336, 9.1619160175323486, -1.0)
(5.23349729180336, 9.1619160175323486, 0.0)
(5.23349729180336, 9.1619160175323486, 1.0)
(-999, -999, -999)
(-999, -999, -999)
(-999, -999, -999)
(5.23349729180336, 10.161916017532349, 0.0)
(-999, -999, -999)
(-999, -999, -999)
(-999, -999, -999)
(-999, -999, -999)
(-999, -999, -999)
(-999, -999, -999)
(-999, -999, -999)
